PART_NUM,DEAL_REG_GROUP,START_DATE,END_DATE,ADD_DATE,MODIFIED_DATE
SAPT000931,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000932,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000933,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000934,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000935,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000936,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000937,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000938,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000939,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000940,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000941,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000942,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000943,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000944,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000945,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000946,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000947,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000948,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000949,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000950,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000951,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
SAPT000952,Service Action,10/9/18,12/31/99,2018-12-27-21.30.21.000000,2018-12-27-21.30.21.000000
