PART_NUM,DEAL_REG_GROUP,START_DATE,END_DATE,ACTIVE_FLAG,ADD_DATE,MODIFIED_Date
SWPT006806,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007077,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007078,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007102,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007103,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007104,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007105,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007128,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007174,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007175,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007224,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007225,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007350,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT007351,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
